model_a,model_b,hl_estimate,rank_biserial,cliffs_delta,p_value,q_value
anthropic-claude-3-sonnet-20240229,cohere-command-r-08-2024,0.09826295921269601,0.509366391184573,0.38333333333333336,1.2835192301577863e-06,3.2087980753944658e-06
anthropic-claude-3-sonnet-20240229,google-gemini-2.5-flash,0.007606272998912811,0.1024793388429752,0.016666666666666666,0.3299476612711034,0.3299476612711034
anthropic-claude-3-sonnet-20240229,meta-llama-Llama-4-Maverick-17B-128E-Instruct,0.18346993764514674,0.843801652892562,0.7,1.0437991299724193e-15,1.0437991299724193e-14
anthropic-claude-3-sonnet-20240229,openai-gpt-4o-mini,0.07955787619454546,0.36446280991735536,0.3333333333333333,0.0005306973276120124,0.000758139039445732
cohere-command-r-08-2024,google-gemini-2.5-flash,-0.06632602138926602,-0.47713498622589534,-0.31666666666666665,5.736344322134585e-06,9.560573870224309e-06
cohere-command-r-08-2024,meta-llama-Llama-4-Maverick-17B-128E-Instruct,0.08188238296822803,0.5027548209366391,0.31666666666666665,1.7578752346055603e-06,3.5157504692111205e-06
cohere-command-r-08-2024,openai-gpt-4o-mini,-0.03828601060503467,-0.2071625344352617,-0.16666666666666666,0.04890837335508485,0.05434263706120539
google-gemini-2.5-flash,meta-llama-Llama-4-Maverick-17B-128E-Instruct,0.1893692151768307,0.7837465564738292,0.6833333333333333,9.285852760079269e-14,4.642926380039635e-13
google-gemini-2.5-flash,openai-gpt-4o-mini,0.05211491726215689,0.31019283746556475,0.21666666666666667,0.0031896224776051993,0.003987028097006499
meta-llama-Llama-4-Maverick-17B-128E-Instruct,openai-gpt-4o-mini,-0.12632559069716076,-0.6077134986225895,-0.4666666666666667,7.594259600255385e-09,2.531419866751795e-08
