model_a,model_b,hl_difference,ci_low,ci_high,p_value,q_value
anthropic-claude-3-sonnet-20240229,cohere-command-r-08-2024,-29.5286692474736,-42.09955567486213,-23.352559826714923,4.345916367999741e-14,4.345916367999741e-14
anthropic-claude-3-sonnet-20240229,google-gemini-2.5-flash,102.42208480035771,94.69383353555179,106.22477283135487,1.9719517121524354e-21,4.044401258880928e-21
anthropic-claude-3-sonnet-20240229,meta-llama-Llama-4-Maverick-17B-128E-Instruct,-80.99802369593698,-89.48816594934806,-73.91379096972537,4.9804432162330805e-21,7.114918880332972e-21
anthropic-claude-3-sonnet-20240229,openai-gpt-4o-mini,39.742564987874175,34.81622511698163,46.73679132330727,1.1015687010129321e-20,1.3769608762661653e-20
cohere-command-r-08-2024,google-gemini-2.5-flash,136.13121124784345,128.6386196961143,144.41108922675494,1.9719517121524354e-21,4.044401258880928e-21
cohere-command-r-08-2024,meta-llama-Llama-4-Maverick-17B-128E-Instruct,-43.95169864533773,-52.308127450898155,-35.821739905277354,1.3062149464700828e-16,1.4513499405223141e-16
cohere-command-r-08-2024,openai-gpt-4o-mini,79.61191382547486,72.62739984491913,86.92726653475722,2.733568197798218e-21,4.555946996330364e-21
google-gemini-2.5-flash,meta-llama-Llama-4-Maverick-17B-128E-Instruct,-180.98684021880575,-190.79089346850196,-171.84271112302812,1.9719517121524354e-21,4.044401258880928e-21
google-gemini-2.5-flash,openai-gpt-4o-mini,-56.151367887988016,-62.68898973037864,-49.04523492002514,2.022200629440464e-21,4.044401258880928e-21
meta-llama-Llama-4-Maverick-17B-128E-Instruct,openai-gpt-4o-mini,126.76254671745613,116.54902236594961,132.34559272709106,1.9719517121524354e-21,4.044401258880928e-21
