model_a,model_b,hl_estimate,rank_biserial,cliffs_delta,p_value,q_value
anthropic-claude-3-sonnet-20240229,cohere-command-r-08-2024,0.08424797951220753,0.4975206611570248,0.36666666666666664,2.2487666677012144e-06,3.7479444461686902e-06
anthropic-claude-3-sonnet-20240229,google-gemini-2.5-flash,-0.03324397263900836,-0.10550964187327824,-0.15,0.3158478992658902,0.3158478992658902
anthropic-claude-3-sonnet-20240229,meta-llama-Llama-4-Maverick-17B-128E-Instruct,0.2084318433219483,0.9027548209366392,0.7166666666666667,9.321004686777694e-18,9.321004686777694e-17
anthropic-claude-3-sonnet-20240229,openai-gpt-4o-mini,0.07725308992324531,0.2231404958677686,0.2,0.03389791247064144,0.0376643471896016
cohere-command-r-08-2024,google-gemini-2.5-flash,-0.09967041680116129,-0.5275482093663911,-0.35,5.299642742847282e-07,1.0599285485694565e-06
cohere-command-r-08-2024,meta-llama-Llama-4-Maverick-17B-128E-Instruct,0.12809041958066691,0.5862258953168044,0.5333333333333333,2.504565194706555e-08,6.261412986766388e-08
cohere-command-r-08-2024,openai-gpt-4o-mini,-0.08099600054459932,-0.2727272727272727,-0.25,0.009523121965228505,0.013604459950326437
google-gemini-2.5-flash,meta-llama-Llama-4-Maverick-17B-128E-Instruct,0.2555482697705247,0.8683195592286501,0.6833333333333333,1.5231563370883687e-16,7.615781685441844e-16
google-gemini-2.5-flash,openai-gpt-4o-mini,0.044690044354763536,0.2644628099173554,0.2,0.01193317396708095,0.014916467458851187
meta-llama-Llama-4-Maverick-17B-128E-Instruct,openai-gpt-4o-mini,-0.16714806657912606,-0.7757575757575758,-0.6,1.6467179417196306e-13,5.489059805732102e-13
